Rank,Course_Name,Yards,Par,Points,Location,Architect,Year_Built,Restoration_Architect,Year_Restored,Latitude,Longitude
82,PLAINFIELD C.C.,7091,72,61.4727,Edison N.J.,Donald Ross,1921,Gil Hanse,2010,40.594661,-74.389916
83,CALUSA PINES G.C.,7203,72,61.4559,Naples Fla.,Michael Hurdzan & Dana Fry,2001,(Original Design),(Original Design),26.258963,-81.671666
84,VALHALLA G.C.,7540,72,61.3786,Louisville,Jack Nicklaus,1987,Jack Nicklaus,2012,38.242849,-85.472042
85,ARONIMINK G.C.,7267,70,61.3607,Newtown Square Pa.,Donald Ross,1928,Gil Hanse,2017,40.011815999999996,-75.409086
86,THE VALLEY CLUB OF MONTECITO,6610,72,61.3551,Montecito Calif.,Alister MacKenzie & Robert Hunter,1929,Tom Doak,2018,34.43327,-119.61531799999999
87,BOSTON G.C.,7062,71,61.3515,Hingham Mass.,Gil Hanse,2004,(Original Design),(Original Design),42.193373,-70.89778000000001
88,INVERNESS CLUB,7323,71,61.3320,Toledo Ohio,Donald Ross,1919,Andrew Green,2018,41.742691,-83.643563
89,SLEEPY HOLLOW C.C,6902,70,61.3308,C.B. Macdonald,A.W. Tillinghast,1915,Gil Hanse,2017,41.124194,-73.861501
90,DIAMOND CREEK G.C.,7175,70,61.2075,Banner Elk N.C.,Tom Fazio,2003,(Original Design),(Original Design),36.15275,-81.835581
91,THE G.C. AT BLACK ROCK,7130,72,61.2020,Coeur d’Alene Idaho,Jim Engh,2003,(Original Design),(Original Design),47.511562,-116.87041
92,DOUBLE EAGLE CLUB,7175,72,61.1950,Galena Ohio,Jay Morrish & Tom Weiskopf,1992,(Original Design),(Original Design),40.24345,-82.949656
93,SPRING HILL G.C.,7035,72,61.1569,Wayzata Minn.,Tom Fazio,1999,(Original Design),(Original Design),44.997298,-93.540912
94,RICH HARVEST LINKS,7704,72,61.1128,Sugar Grove Ill.,Jerry Rich & Greg Martin,1999,Jerry Rich, 2012,41.753862,-88.486464
95,YEAMANS HALL CLUB,6808,70,61.0890,Charleston S.C.,Seth Raynor & Charles Banks,1926,Jim Urbina, 2016,32.926513,-79.977907
96,THE PRESERVE G.C.,7138,72,61.0619,Carmel Calif.,Tom Fazio  & J. Michael Poellot & Sandy Tatum,2000,Tom Fazio,2015,36.534669,-121.86853899999998
97,BLACKWOLF RUN (River),7404,72,61.0451,Kohler Wis.,Pete Dye,1990,Pete Dye,2010,43.727082,-87.77591600000001
98,OLD TOWN CLUB,7038,70,61.0033,Winston-Salem N.C.,Perry Maxwell,1939,Bill Coore & Ben Crenshaw,2013,36.124646999999996,-80.271688
99,CROOKED STICK G.C.,7516,72,60.9908,Carmel Ind.,Pete Dye,1967,Pete Dye,2008,39.946528,-86.19302900000001
100,MAYACAMA G.C.,6761,71,60.9746,Santa Rosa Calif.,Jack Nicklaus,2001,(Original Design),(Original Design),38.528184,-122.733709
